Time,Channel B
(ms),(V)

0.81947762,-0.00137333
0.82203762,-0.00137333
0.82459762,0.04272591
0.82715762,-0.00137333
0.82971762,-0.00137333
0.83227762,-0.00137333
0.83483762,0.04272591
0.83739762,-0.00137333
0.83995762,-0.00137333
0.84251762,-0.00137333
0.84507762,-0.00137333
0.84763762,-0.00137333
0.85019762,-0.00137333
0.85275762,-0.00137333
0.85531762,-0.00137333
0.85787762,-0.00137333
0.86043762,-0.00137333
0.86299762,-0.00137333
0.86555762,-0.00137333
0.86811762,0.04272591
0.87067762,-0.00137333
0.87323762,-0.00137333
0.87579762,-0.00137333
0.87835762,-0.00137333
0.88091762,-0.00137333
0.88347762,-0.00137333
0.88603762,0.04272591
0.88859762,-0.00137333
0.89115762,-0.00137333
0.89371762,-0.00137333
0.89627762,-0.00137333
0.89883762,-0.00137333
0.90139762,-0.00137333
0.90395762,-0.00137333
0.90651762,-0.00137333
0.90907762,-0.00137333
0.91163762,-0.00137333
0.91419762,-0.00137333
0.91675762,-0.00137333
0.91931762,-0.00137333
0.92187762,-0.00137333
0.92443762,-0.00137333
0.92699762,-0.00137333
0.92955762,-0.00137333
0.93211762,-0.00137333
0.93467762,-0.00137333
0.93723762,-0.00137333
0.93979762,-0.00137333
0.94235762,-0.00137333
0.94491762,-0.00137333
0.94747762,-0.00137333
0.95003762,-0.00137333
0.95259762,-0.00137333
0.95515762,0.04272591
0.95771762,-0.00137333
0.96027762,-0.00137333
0.96283762,-0.00137333
0.96539762,-0.00137333
0.96795762,-0.00137333
0.97051762,-0.00137333
0.97307762,-0.00137333
0.97563762,-0.00137333
0.97819762,-0.00137333
0.98075762,-0.00137333
0.98331762,-0.00137333
0.98587762,-0.00137333
0.98843762,-0.00137333
0.99099762,0.04272591
0.99355762,-0.00137333
0.99611762,-0.00137333
0.99867762,0.04272591
1.00123762,-0.00137333
1.00379762,-0.00137333
1.00635762,0.04272591
1.00891762,-0.00137333
1.01147762,-0.00137333
1.01403762,-0.00137333
1.01659762,-0.00137333
1.01915762,-0.00137333
1.02171762,-0.00137333
1.02427762,-0.00137333
1.02683762,-0.00137333
1.02939762,-0.00137333
1.03195762,-0.00137333
1.03451762,-0.00137333
1.03707762,-0.00137333
1.03963762,-0.00137333
1.04219762,-0.00137333
1.04475762,-0.00137333
1.04731762,-0.00137333
1.04987762,-0.00137333
1.05243762,-0.00137333
1.05499762,-0.00137333
1.05755762,-0.00137333
1.06011762,0.04272591
1.06267762,-0.00137333
1.06523762,-0.00137333
1.06779762,-0.00137333
1.07035762,-0.00137333
1.07291762,-0.00137333
1.07547762,-0.00137333
1.07803762,-0.00137333
1.08059762,-0.00137333
1.08315762,-0.00137333
1.08571762,0.04272591
1.08827762,-0.00137333
1.09083762,-0.00137333
1.09339762,-0.00137333
1.09595762,-0.00137333
1.09851762,-0.00137333
1.10107762,-0.00137333
1.10363762,-0.00137333
1.10619762,0.04272591
1.10875762,-0.00137333
1.11131762,-0.00137333
1.11387762,-0.00137333
1.11643762,-0.00137333
1.11899762,-0.00137333
1.12155762,-0.00137333
1.12411762,-0.00137333
1.12667762,-0.00137333
1.12923762,-0.00137333
1.13179762,-0.00137333
1.13435762,-0.00137333
1.13691762,-0.00137333
1.13947762,-0.00137333
1.14203762,0.04272591
1.14459762,-0.00137333
1.14715762,-0.00137333
1.14971762,-0.00137333
1.15227762,-0.00137333
1.15483762,-0.00137333
1.15739762,-0.00137333
1.15995762,-0.00137333
1.16251762,-0.00137333
1.16507762,-0.00137333
1.16763762,-0.00137333
1.17019762,-0.00137333
1.17275762,-0.00137333
1.17531762,-0.00137333
1.17787762,-0.00137333
1.18043762,-0.00137333
1.18299762,-0.00137333
1.18555762,0.04272591
1.18811762,-0.00137333
1.19067762,-0.00137333
1.19323762,-0.00137333
1.19579762,-0.00137333
1.19835762,-0.00137333
1.20091762,-0.00137333
1.20347762,-0.00137333
1.20603762,-0.00137333
1.20859762,-0.00137333
1.21115762,-0.00137333
1.21371762,-0.00137333
1.21627762,-0.00137333
1.21883762,0.04272591
1.22139762,-0.00137333
1.22395762,-0.00137333
1.22651762,-0.00137333
1.22907762,-0.00137333
1.23163762,-0.00137333
1.23419762,-0.00137333
1.23675762,-0.00137333
1.23931762,-0.00137333
1.24187762,-0.00137333
1.24443762,-0.00137333
1.24699762,-0.00137333
1.24955762,-0.00137333
1.25211762,-0.00137333
1.25467762,-0.00137333
1.25723762,-0.00137333
1.25979762,0.04272591
1.26235762,0.04272591
1.26491762,0.04272591
1.26747762,0.04272591
1.27003762,0.04272591
1.27259762,-0.00137333
1.27515762,-0.00137333
1.27771762,-0.00137333
1.28027762,-0.00137333
1.28283762,-0.00137333
1.28539762,-0.00137333
1.28795762,-0.00137333
1.29051762,-0.00137333
1.29307762,-0.00137333
1.29563762,-0.00137333
1.29819762,-0.00137333
1.30075762,-0.00137333
1.30331762,-0.00137333
1.30587762,0.04272591
1.30843762,-0.00137333
1.31099762,0.04272591
1.31355762,-0.00137333
1.31611762,-0.00137333
1.31867762,-0.00137333
1.32123762,-0.00137333
1.32379762,-0.00137333
1.32635762,0.04272591
1.32891762,-0.00137333
1.33147762,-0.00137333
1.33403762,-0.00137333
1.33659762,-0.00137333
1.33915762,-0.00137333
1.34171762,-0.00137333
1.34427762,-0.00137333
1.34683762,0.04272591
1.34939762,-0.00137333
1.35195762,-0.00137333
1.35451762,-0.00137333
1.35707762,-0.00137333
1.35963762,0.04272591
1.36219762,-0.00137333
1.36475762,-0.00137333
1.36731762,-0.00137333
1.36987762,-0.00137333
1.37243762,-0.00137333
1.37499762,-0.00137333
1.37755762,-0.00137333
1.38011762,-0.00137333
1.38267762,-0.00137333
1.38523762,-0.00137333
1.38779762,-0.00137333
1.39035762,-0.00137333
1.39291762,-0.00137333
1.39547762,-0.00137333
1.39803762,-0.00137333
1.40059762,-0.00137333
1.40315762,-0.00137333
1.40571762,-0.00137333
1.40827762,-0.00137333
1.41083762,-0.00137333
1.41339762,-0.00137333
1.41595762,-0.00137333
1.41851762,-0.00137333
1.42107762,-0.00137333
1.42363762,-0.00137333
1.42619762,-0.00137333
1.42875762,-0.00137333
1.43131762,-0.00137333
1.43387761,-0.00137333
1.43643761,0.04272591
1.43899761,-0.00137333
1.44155761,-0.00137333
1.44411761,0.04272591
1.44667761,-0.00137333
1.44923761,-0.00137333
1.45179761,-0.00137333
1.45435761,-0.00137333
1.45691761,-0.00137333
1.45947761,-0.00137333
1.46203761,-0.00137333
1.46459761,-0.00137333
1.46715761,0.04272591
1.46971761,-0.00137333
1.47227761,-0.00137333
1.47483761,-0.00137333
1.47739761,-0.00137333
1.47995761,-0.00137333
1.48251761,-0.00137333
1.48507761,-0.00137333
1.48763761,-0.00137333
1.49019761,-0.00137333
1.49275761,-0.00137333
1.49531761,-0.00137333
1.49787761,-0.00137333
1.50043761,-0.00137333
1.50299761,-0.00137333
1.50555761,-0.00137333
1.50811761,-0.00137333
1.51067761,0.04272591
1.51323761,-0.00137333
1.51579761,-0.00137333
1.51835761,-0.00137333
1.52091761,-0.00137333
1.52347761,-0.00137333
1.52603761,-0.00137333
1.52859761,-0.00137333
1.53115761,-0.00137333
1.53371761,-0.00137333
1.53627761,-0.00137333
1.53883761,-0.00137333
1.54139761,-0.00137333
1.54395761,-0.00137333
1.54651761,-0.00137333
1.54907761,-0.00137333
1.55163761,-0.00137333
1.55419761,-0.00137333
1.55675761,-0.00137333
1.55931761,-0.00137333
1.56187761,-0.00137333
1.56443761,-0.00137333
1.56699761,-0.00137333
1.56955761,-0.00137333
1.57211761,0.04272591
1.57467761,-0.00137333
1.57723761,-0.00137333
1.57979761,-0.00137333
1.58235761,-0.00137333
1.58491761,-0.00137333
1.58747761,-0.00137333
1.59003761,-0.00137333
1.59259761,-0.00137333
1.59515761,0.04272591
1.59771761,-0.00137333
1.60027761,-0.00137333
1.60283761,-0.00137333
1.60539761,-0.00137333
1.60795761,-0.00137333
1.61051761,0.04272591
1.61307761,-0.00137333
1.61563761,-0.00137333
1.61819761,-0.00137333
1.62075761,-0.00137333
1.62331761,-0.00137333
1.62587761,-0.00137333
1.62843761,-0.00137333
1.63099761,-0.00137333
1.63355761,-0.00137333
1.63611761,-0.00137333
1.63867761,-0.00137333
1.64123761,-0.00137333
1.64379761,-0.00137333
1.64635761,-0.00137333
1.64891761,0.04272591
1.65147761,-0.00137333
1.65403761,-0.00137333
1.65659761,-0.00137333
1.65915761,0.04272591
1.66171761,-0.00137333
1.66427761,0.04272591
1.66683761,-0.00137333
1.66939761,-0.00137333
1.67195761,-0.00137333
1.67451761,-0.00137333
1.67707761,-0.00137333
1.67963761,-0.00137333
1.68219761,-0.00137333
1.68475761,-0.00137333
1.68731761,-0.00137333
1.68987761,-0.00137333
1.69243761,-0.00137333
1.69499761,-0.00137333
1.69755761,-0.00137333
1.70011761,0.04272591
1.70267761,-0.00137333
1.70523761,-0.00137333
1.70779761,-0.00137333
1.71035761,-0.00137333
1.71291761,-0.00137333
1.71547761,-0.00137333
1.71803761,-0.00137333
1.72059761,-0.00137333
1.72315761,-0.00137333
1.72571761,-0.00137333
1.72827761,-0.00137333
1.73083761,-0.00137333
1.73339761,-0.00137333
1.73595761,-0.00137333
1.73851761,-0.00137333
1.74107761,-0.00137333
1.74363761,-0.00137333
1.74619761,-0.00137333
1.74875761,-0.00137333
1.75131761,-0.00137333
1.75387761,-0.00137333
1.75643761,-0.00137333
1.75899761,-0.00137333
1.76155761,-0.00137333
1.76411761,-0.00137333
1.76667761,-0.00137333
1.76923761,-0.00137333
1.77179761,-0.00137333
1.77435761,-0.00137333
1.77691761,-0.00137333
1.77947761,-0.00137333
1.78203761,-0.00137333
1.78459761,0.04272591
1.78715761,-0.00137333
1.78971761,-0.00137333
1.79227761,-0.00137333
1.79483761,-0.00137333
1.79739761,-0.00137333
1.79995761,-0.00137333
1.80251761,-0.00137333
1.80507761,-0.00137333
1.80763761,-0.00137333
1.81019761,-0.00137333
1.81275761,-0.00137333
1.81531761,-0.00137333
1.81787761,-0.00137333
1.82043761,-0.00137333
1.82299761,-0.00137333
1.82555761,-0.00137333
1.82811761,-0.00137333
1.83067761,-0.00137333
1.83323761,-0.00137333
1.83579761,-0.00137333
1.83835761,-0.00137333
1.84091761,-0.00137333
1.84347761,-0.00137333
1.84603761,-0.00137333
1.84859761,-0.00137333
1.85115761,-0.00137333
1.85371761,-0.00137333
1.85627761,-0.00137333
1.85883761,-0.00137333
1.86139761,-0.00137333
1.86395761,-0.00137333
1.86651761,-0.00137333
1.86907761,-0.00137333
1.87163761,-0.00137333
1.87419761,-0.00137333
1.87675761,-0.00137333
1.87931761,-0.00137333
1.88187761,-0.00137333
1.88443761,-0.00137333
1.88699761,-0.00137333
1.88955761,-0.00137333
1.89211761,-0.00137333
1.89467761,-0.00137333
1.89723761,-0.00137333
1.89979761,-0.00137333
1.90235761,-0.00137333
1.90491761,-0.00137333
1.90747761,-0.00137333
1.91003761,-0.00137333
1.91259761,-0.00137333
1.91515761,-0.00137333
1.91771761,-0.00137333
1.92027761,-0.00137333
1.92283761,-0.00137333
1.92539761,-0.00137333
1.92795761,-0.00137333
1.93051761,-0.00137333
1.93307761,-0.00137333
1.93563761,-0.00137333
1.93819761,-0.00137333
1.94075761,-0.00137333
1.94331761,-0.00137333
1.94587761,-0.00137333
1.94843761,-0.00137333
1.95099761,-0.00137333
1.95355761,-0.00137333
1.95611761,-0.00137333
1.95867761,-0.00137333
1.96123761,-0.00137333
1.96379761,-0.00137333
1.96635761,-0.00137333
1.96891761,-0.00137333
1.97147761,-0.00137333
1.97403761,-0.00137333
1.97659761,-0.00137333
1.97915761,-0.00137333
1.98171761,-0.00137333
1.98427761,-0.00137333
1.98683761,-0.00137333
1.98939761,0.04272591
1.99195761,-0.00137333
1.99451761,-0.00137333
1.99707761,-0.00137333
1.99963761,-0.00137333
2.00219761,-0.00137333
2.00475761,-0.00137333
2.00731761,-0.00137333
2.00987761,-0.00137333
2.01243761,-0.00137333
2.01499761,-0.00137333
2.01755761,-0.00137333
2.02011761,-0.00137333
