Time,Channel A
(ms),(V)

0.11971318,0.34232610
0.12527318,0.35486920
0.13083318,0.36765650
0.13639318,0.38084050
0.14195318,0.39054540
0.14751318,0.39985350
0.15307318,0.41364790
0.15863318,0.42088080
0.16419318,0.43156220
0.16975318,0.43751340
0.17531318,0.44486830
0.18087318,0.45405440
0.18643318,0.46189760
0.19199318,0.46934420
0.19755318,0.47346420
0.20311318,0.48191780
0.20867318,0.48725850
0.21423318,0.48887600
0.21979318,0.48823510
0.22535318,0.49531540
0.23091318,0.49919130
0.23647318,0.50129710
0.24203318,0.50291450
0.24759318,0.50340280
0.25315318,0.50105290
0.25871318,0.50129710
0.26427318,0.49980160
0.26983318,0.49967960
0.27539318,0.49705500
0.28095318,0.49171420
0.28651318,0.48924220
0.29207318,0.48512220
0.29763318,0.48091070
0.30319318,0.47556990
0.30875318,0.46873380
0.31431318,0.46226390
0.31987318,0.45469530
0.32543318,0.44996490
0.33099317,0.44062620
0.33655317,0.43043310
0.34211317,0.42149110
0.34767317,0.41080970
0.35323317,0.40098270
0.35879317,0.38941620
0.36435317,0.37873470
0.36991317,0.36967070
0.37547317,0.35474710
0.38103317,0.34217350
0.38659317,0.33063750
0.39215317,0.31446270
0.39771317,0.30127870
0.40327317,0.28800320
0.40883317,0.27481920
0.41439317,0.25977360
0.41995317,0.24411760
0.42551317,0.22894990
0.43107317,0.21353800
0.43663317,0.19675280
0.44219317,0.17947940
0.44775317,0.16330450
0.45331317,0.14554280
0.45887317,0.13037510
0.46443317,0.11249120
0.46999317,0.09656057
0.47555317,0.08041627
0.48111317,0.06213569
0.48667317,0.04373302
0.49223317,0.02645955
0.49779317,0.01004059
0.50335317,-0.00772118
0.50891317,-0.02587970
0.51447317,-0.04202399
0.52003317,-0.06091494
0.52559317,-0.07831050
0.53115317,-0.09335612
0.53671317,-0.11374250
0.54227317,-0.12765890
0.54783317,-0.14545120
0.55339317,-0.16284680
0.55895317,-0.17975400
0.56451317,-0.19455550
0.57007317,-0.20908230
0.57563317,-0.22675250
0.58119317,-0.24204230
0.58675317,-0.25632490
0.59231317,-0.27072970
0.59787317,-0.28714870
0.60343317,-0.29908140
0.60899317,-0.31250950
0.61455317,-0.32755510
0.62011317,-0.34195990
0.62567317,-0.35166480
0.63123317,-0.36460460
0.63679317,-0.37702570
0.64235317,-0.38746300
0.64791317,-0.39951780
0.65347317,-0.40910060
0.65903317,-0.41877500
0.66459317,-0.42960910
0.67015317,-0.43879510
0.67571317,-0.44788970
0.68127317,-0.45310830
0.68683317,-0.46043270
0.69239317,-0.46650590
0.69795317,-0.47160250
0.70351317,-0.47697380
0.70907317,-0.48304700
0.71463317,-0.48628190
0.72019317,-0.49012730
0.72575317,-0.49311810
0.73131317,-0.49449140
0.73687316,-0.49882500
0.74243316,-0.49748220
0.74799316,-0.49995420
0.75355316,-0.50007630
0.75911316,-0.49845880
0.76467316,-0.49720760
0.77023316,-0.49473560
0.77579316,-0.49388100
0.78135316,-0.49000520
0.78691316,-0.48579360
0.79247316,-0.48243660
0.79803316,-0.47657700
0.80359316,-0.47212130
0.80915316,-0.46504100
0.81471316,-0.45793020
0.82027316,-0.45210120
0.82583316,-0.44489880
0.83139316,-0.43418680
0.83695316,-0.42799160
0.84251316,-0.41569260
0.84807316,-0.40623190
0.85363316,-0.39716790
0.85919316,-0.38746300
0.86475316,-0.37702570
0.87031316,-0.36335340
0.87587316,-0.35239720
0.88143316,-0.34046450
0.88699316,-0.32557140
0.89255316,-0.31177710
0.89811316,-0.29895930
0.90367316,-0.28516500
0.90923316,-0.27048560
0.91479316,-0.25357830
0.92035316,-0.23718990
0.92591316,-0.22611160
0.93147316,-0.20798360
0.93703316,-0.19144260
0.94259316,-0.17963190
0.94815316,-0.15936770
0.95371316,-0.14371170
0.95927316,-0.12591940
0.96483316,-0.10989720
0.97039316,-0.09286782
0.97595316,-0.07385479
0.98151316,-0.05670339
0.98707316,-0.04016236
0.99263316,-0.02175970
0.99819316,-0.00561541
1.00375316,0.01391644
