Time,Channel A
(ms),(V)

0.47251800,-4.74074500
0.47379800,-4.65071600
0.47507800,-4.56099100
0.47635800,-4.47096200
0.47763800,-4.38123700
0.47891800,-4.29151300
0.48019800,-4.11175900
0.48147800,-3.93200500
0.48275800,-3.84228000
0.48403800,-3.57249700
0.48531800,-3.39304800
0.48659800,-3.12356900
0.48787800,-2.94381500
0.48915800,-2.58430700
0.49043800,-2.31482900
0.49171800,-2.04535100
0.49299800,-1.68584300
0.49427800,-1.41636400
0.49555800,-0.96713160
0.49683800,-0.69765310
0.49811800,-0.33814510
0.49939800,0.11108740
0.50067800,0.38056580
0.50195800,0.82949310
0.50323800,1.18869600
0.50451800,1.54820400
0.50579800,1.90740700
0.50707800,2.35663900
0.50835800,2.71614700
0.50963800,3.07535000
0.51091800,3.43485800
0.51219800,3.79436600
0.51347800,4.06384500
0.51475800,4.33332300
0.51603800,4.69252600
0.51731800,4.96231000
0.51859800,5.23178800
0.51987800,5.41154200
0.52115800,5.77074500
0.52243800,5.95049900
0.52371800,6.13025300
0.52499800,6.31000700
0.52627800,6.39973200
0.52755800,6.48945600
0.52883800,6.66921000
0.53011800,6.66921000
0.53139800,6.75893400
0.53267800,6.75893400
0.53395800,6.75893400
0.53523800,6.66921000
0.53651800,6.57948500
0.53779800,6.48945600
0.53907800,6.39973200
0.54035800,6.31000700
0.54163800,6.13025300
0.54291800,5.86077500
0.54419800,5.68102100
0.54547800,5.41154200
0.54675800,5.14175800
0.54803800,4.87228000
0.54931800,4.60280200
0.55059800,4.24359900
0.55187800,3.97381500
0.55315800,3.61461200
0.55443800,3.25510400
0.55571800,2.89590100
0.55699800,2.44666900
0.55827800,2.08716100
0.55955800,1.72795800
0.56083800,1.27872600
0.56211800,0.82949310
0.56339800,0.47029020
0.56467800,0.02105777
0.56595800,-0.33814510
0.56723800,-0.78737750
0.56851800,-1.14688600
0.56979800,-1.50608800
0.57107800,-1.86559700
0.57235800,-2.31482900
0.57363800,-2.58430700
0.57491800,-2.94381500
0.57619800,-3.30301800
0.57747800,-3.57249700
0.57875800,-3.93200500
0.58003800,-4.20148300
0.58131800,-4.47096200
0.58259800,-4.65071600
0.58387800,-4.92019400
0.58515800,-5.09994800
0.58643800,-5.27970200
0.58771800,-5.36942700
0.58899800,-5.54918100
0.59027800,-5.63890500
0.59155800,-5.72893500
0.59283800,-5.81865900
0.59411800,-5.81865900
0.59539800,-5.81865900
0.59667800,-5.81865900
0.59795800,-5.72893500
0.59923800,-5.72893500
0.60051800,-5.63890500
0.60179800,-5.54918100
0.60307800,-5.36942700
0.60435800,-5.27970200
0.60563800,-5.09994800
0.60691800,-5.01022400
0.60819800,-4.74074500
0.60947800,-4.56099100
0.61075800,-4.38123700
0.61203800,-4.11175900
0.61331800,-3.93200500
0.61459800,-3.66252600
0.61587800,-3.48277200
0.61715800,-3.21329400
0.61843800,-2.94381500
0.61971800,-2.67433700
0.62099800,-2.40455300
0.62227800,-2.13507500
0.62355800,-1.86559700
0.62483800,-1.59611800
0.62611800,-1.32664000
0.62739800,-1.05716100
0.62867800,-0.78737750
0.62995800,-0.51789910
0.63123800,-0.33814510
0.63251800,-0.06866664
0.63379800,0.20081180
0.63507800,0.38056580
0.63635800,0.64973910
0.63763800,0.82949310
0.63891800,1.00894200
0.64019800,1.18869600
0.64147800,1.36845000
0.64275800,1.54820400
0.64403800,1.72795800
0.64531800,1.81768200
0.64659800,1.90740700
0.64787800,1.99743600
0.64915800,2.08716100
0.65043800,2.17719100
0.65171800,2.26691500
0.65299800,2.26691500
0.65427800,2.35663900
0.65555800,2.35663900
0.65683800,2.44666900
0.65811800,2.44666900
0.65939800,2.44666900
0.66067800,2.44666900
0.66195800,2.44666900
0.66323800,2.44666900
0.66451800,2.35663900
0.66579800,2.35663900
0.66707800,2.35663900
0.66835800,2.26691500
0.66963800,2.17719100
0.67091800,2.17719100
0.67219800,2.08716100
0.67347800,2.08716100
0.67475800,1.99743600
0.67603800,1.99743600
0.67731800,1.90740700
0.67859800,1.81768200
0.67987800,1.81768200
0.68115800,1.72795800
0.68243800,1.72795800
0.68371800,1.63792800
0.68499800,1.63792800
0.68627800,1.54820400
0.68755800,1.54820400
0.68883800,1.45817400
0.69011800,1.45817400
0.69139800,1.45817400
0.69267800,1.45817400
0.69395800,1.45817400
0.69523800,1.45817400
0.69651800,1.45817400
0.69779800,1.45817400
0.69907800,1.45817400
0.70035800,1.45817400
0.70163800,1.45817400
0.70291800,1.45817400
0.70419800,1.54820400
0.70547800,1.54820400
0.70675800,1.63792800
0.70803800,1.63792800
0.70931800,1.63792800
0.71059800,1.63792800
0.71187800,1.63792800
0.71315800,1.72795800
0.71443800,1.72795800
0.71571800,1.72795800
0.71699800,1.72795800
0.71827800,1.72795800
0.71955800,1.72795800
0.72083800,1.72795800
0.72211800,1.72795800
0.72339800,1.63792800
0.72467800,1.63792800
0.72595800,1.54820400
0.72723800,1.54820400
0.72851800,1.45817400
0.72979800,1.45817400
0.73107800,1.36845000
0.73235800,1.27872600
0.73363800,1.18869600
0.73491800,1.00894200
0.73619800,0.91921750
0.73747800,0.82949310
0.73875800,0.64973910
0.74003800,0.56001470
0.74131800,0.38056580
0.74259800,0.29053620
0.74387800,0.02105777
0.74515800,-0.06866664
0.74643800,-0.33814510
0.74771800,-0.42817470
0.74899800,-0.69765310
0.75027800,-0.87740710
0.75155800,-1.05716100
0.75283800,-1.23661000
0.75411800,-1.50608800
0.75539800,-1.68584300
0.75667800,-1.86559700
0.75795800,-2.13507500
0.75923800,-2.31482900
0.76051800,-2.58430700
0.76179800,-2.76406100
0.76307800,-2.94381500
0.76435800,-3.21329400
0.76563800,-3.39304800
0.76691800,-3.57249700
0.76819800,-3.66252600
0.76947800,-3.93200500
0.77075800,-4.02172900
0.77203800,-4.11175900
0.77331800,-4.29151300
0.77459800,-4.38123700
0.77587800,-4.47096200
0.77715800,-4.56099100
0.77843800,-4.65071600
0.77971800,-4.74074500
0.78099800,-4.83047000
0.78227800,-4.83047000
0.78355800,-4.83047000
0.78483800,-4.83047000
0.78611800,-4.74074500
0.78739800,-4.74074500
0.78867800,-4.65071600
