Frequency,Channel A
(kHz),(dBu)

12.68386841,-59.97414000
12.77923584,-57.85822000
12.87460327,-60.72704000
12.96997070,-66.00050000
13.06533813,-59.93829000
13.16070557,-57.14740000
13.25607300,-62.75349000
13.35144043,-61.60300000
13.44680786,-55.48099000
13.54217529,-56.59941000
13.63754272,-65.60663000
13.73291016,-71.95341000
13.82827759,-64.10637000
13.92364502,-61.94194000
14.01901245,-62.93107000
14.11437988,-67.38868000
14.20974731,-67.03935000
14.30511475,-67.61087000
14.40048218,-70.82185000
14.49584961,-62.77651000
14.59121704,-57.68894000
14.68658447,-56.41117000
14.78195190,-57.58017000
14.87731934,-60.19646000
14.97268677,-65.55468000
15.06805420,-69.14899000
15.16342163,-68.59362000
15.25878906,-59.44552000
15.35415649,-54.59585000
15.44952393,-54.49129000
15.54489136,-56.66391000
15.64025879,-58.80004000
15.73562622,-59.34958000
15.83099365,-60.67489000
15.92636108,-66.08665000
16.02172852,-65.09653000
16.11709595,-61.86889000
16.21246338,-59.80924000
16.30783081,-58.42676000
16.40319824,-63.10081000
16.49856567,-64.00774000
16.59393311,-58.63679000
16.68930054,-57.22380000
16.78466797,-55.69424000
16.88003540,-56.59952000
16.97540283,-56.33499000
17.07077026,-57.33794000
17.16613770,-63.74414000
17.26150513,-57.07016000
17.35687256,-58.81718000
17.45223999,-62.26873000
17.54760742,-58.89898000
17.64297485,-57.74426000
17.73834229,-53.65466000
17.83370972,-53.25981000
17.92907715,-51.93791000
18.02444458,-50.25563000
18.11981201,-50.76620000
18.21517944,-53.31198000
18.31054688,-59.18247000
18.40591431,-58.76802000
18.50128174,-50.49652000
18.59664917,-53.10595000
18.69201660,-63.70802000
18.78738403,-61.97420000
18.88275146,-57.90219000
18.97811890,-60.03683000
19.07348633,-58.80085000
19.16885376,-59.65305000
19.26422119,-54.61858000
19.35958862,-53.82164000
19.45495605,-57.27303000
19.55032349,-66.22016000
19.64569092,-79.10445000
19.74105835,-75.96886000
19.83642578,-69.17941000
19.93179321,-67.42961000
20.02716064,-65.62690000
20.12252808,-60.40547000
20.21789551,-56.21003000
20.31326294,-55.15622000
20.40863037,-59.20515000
20.50399780,-64.79363000
20.59936523,-66.96017000
20.69473267,-70.46927000
20.79010010,-65.56419000
20.88546753,-60.48630000
20.98083496,-67.49312000
21.07620239,-66.98950000
21.17156982,-77.59756000
21.26693726,-62.30941000
21.36230469,-60.96413000
21.45767212,-61.50985000
21.55303955,-64.51321000
21.64840698,-70.40315000
21.74377441,-58.28125000
21.83914185,-56.66292000
21.93450928,-58.87670000
22.02987671,-60.49878000
22.12524414,-57.76221000
22.22061157,-58.71088000
22.31597900,-69.72979000
22.41134644,-66.92829000
22.50671387,-63.27320000
22.60208130,-63.80161000
22.69744873,-65.11181000
22.79281616,-59.57899000
22.88818359,-60.50045000
22.98355103,-67.11524000
23.07891846,-64.14552000
23.17428589,-57.39847000
23.26965332,-55.34945000
23.36502075,-58.89921000
23.46038818,-66.45398000
23.55575562,-62.70094000
23.65112305,-64.06037000
23.74649048,-63.34108000
23.84185791,-60.67604000
23.93722534,-61.30564000
24.03259277,-57.50945000
24.12796021,-55.40092000
24.22332764,-57.22519000
24.31869507,-57.52105000
24.41406250,-55.41711000
24.50942993,-56.24334000
24.60479736,-55.94364000
24.70016479,-58.60613000
24.79553223,-62.99982000
24.89089966,-60.76859000
24.98626709,-60.04713000
25.08163452,-58.76093000
25.17700195,-57.48279000
25.27236938,-61.82730000
25.36773682,-68.78046000
25.46310425,-60.05474000
25.55847168,-55.62442000
25.65383911,-57.39255000
25.74920654,-64.25025000
25.84457397,-64.44853000
25.93994141,-69.78998000
26.03530884,-62.99682000
26.13067627,-60.71497000
26.22604370,-59.29325000
26.32141113,-59.86567000
26.41677856,-65.48791000
26.51214600,-64.59711000
26.60751343,-65.96482000
26.70288086,-56.84607000
26.79824829,-58.40990000
26.89361572,-69.13577000
26.98898315,-60.17625000
27.08435059,-63.49360000
27.17971802,-73.81679000
27.27508545,-63.54427000
27.37045288,-57.73757000
27.46582031,-59.66466000
27.56118774,-73.96952000
27.65655518,-66.06263000
27.75192261,-57.88418000
27.84729004,-55.93242000
27.94265747,-61.22572000
28.03802490,-70.20930000
28.13339233,-74.62930000
28.22875977,-62.87491000
28.32412720,-57.25167000
28.41949463,-56.38235000
28.51486206,-60.12988000
28.61022949,-62.66470000
28.70559692,-56.12766000
28.80096436,-54.02293000
28.89633179,-57.81005000
28.99169922,-62.21061000
29.08706665,-59.10265000
