Apr 15, 2025  10:39:19 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 73.20,   3.21E-012, 
 73.30,   3.47E-011, 
 73.40,   1.16E-011, 
 73.50,  -1.86E-011, 
 73.60,  -1.86E-011, 
 73.70,  -1.99E-011, 
 73.80,   8.35E-012, 
 73.90,  -2.19E-011, 
 74.00,  -2.96E-011, 
 74.10,  -2.76E-011, 
 74.20,  -2.83E-011, 
 74.30,  -3.66E-011, 
 74.40,  -4.50E-011, 
 74.50,  -3.66E-011, 
 74.60,  -3.02E-011, 
 74.70,  -1.61E-011, 
 74.80,  -3.86E-011, 
 74.90,  -3.66E-011, 
 75.00,  -2.70E-011, 
 75.10,  -4.50E-012, 
 75.20,  -1.74E-011, 
 75.30,  -2.63E-011, 
 75.40,  -1.99E-011, 
 75.50,   3.08E-011, 
 75.60,   1.35E-011, 
 75.70,   7.71E-012, 
 75.80,   1.61E-011, 
 75.90,   7.71E-012, 
 76.00,  -9.00E-012, 
 76.10,   1.22E-011, 
 76.20,  -1.74E-011, 
 76.30,  -5.14E-012, 
 76.40,   1.03E-011, 
 76.50,  -2.06E-011, 
 76.60,  -1.16E-011, 
 76.70,  -2.44E-011, 
 76.80,  -2.57E-012, 
 76.90,   9.00E-012, 
 77.00,   4.50E-012, 
 77.10,   1.29E-012, 
 77.20,  -2.70E-011, 
 77.30,  -4.43E-011, 
 77.40,  -4.82E-011, 
 77.50,  -3.86E-011, 
 77.60,  -1.48E-011, 
 77.70,  -1.41E-011, 
 77.80,  -3.02E-011, 
 77.90,   1.61E-011, 
 78.00,   4.63E-011, 
 78.10,   8.93E-011, 
 78.20,   8.68E-011, 
 78.30,   4.69E-011, 
 78.40,  -5.14E-012, 
 78.50,  -1.35E-011, 
 78.60,  -2.96E-011, 
 78.70,  -3.86E-011, 
 78.80,  -5.33E-011, 
 78.90,  -4.31E-011, 
 79.00,  -1.99E-011, 
 79.10,  -1.29E-012, 
 79.20,   1.41E-011, 
 79.30,   5.78E-012, 
 79.40,  -4.37E-011, 
 79.50,   2.57E-012, 
 79.60,  -5.78E-012, 
 79.70,   7.20E-011, 
 79.80,   1.83E-010, 
 79.90,   3.57E-010, 
 80.00,   4.04E-010, 
 80.10,   3.72E-010, 
 80.20,   2.67E-010, 
 80.30,   6.88E-011, 
 80.40,   3.53E-011, 
 80.50,   1.67E-011, 
 80.60,   2.57E-012, 
 80.70,  -1.48E-011, 
 80.80,  -1.67E-011, 
 80.90,  -1.80E-011, 
 81.00,  -9.64E-012, 
 81.10,  -1.74E-011, 
 81.20,  -1.93E-011, 
 81.30,  -2.25E-011, 
 81.40,   2.19E-011, 
 81.50,   8.23E-011, 
 81.60,   2.00E-010, 
 81.70,   6.00E-010, 
 81.80,   1.22E-009, 
 81.90,   1.84E-009, 
 82.00,   2.22E-009, 
 82.10,   1.93E-009, 
 82.20,   1.25E-009, 
 82.30,   6.70E-010, 
 82.40,   3.86E-010, 
 82.50,   2.38E-010, 
 82.60,   2.56E-010, 
 82.70,   6.26E-010, 
 82.80,   1.26E-009, 
 82.90,   1.83E-009, 
 83.00,   2.29E-009, 
 83.10,   2.13E-009, 
 83.20,   1.50E-009, 
 83.30,   8.05E-010, 
 83.40,   5.54E-010, 
 83.50,   5.60E-010, 
 83.60,   9.27E-010, 
 83.70,   3.01E-009, 
 83.80,   7.19E-009, 
 83.90,   1.04E-008, 
 84.00,   1.18E-008, 
 84.10,   8.86E-009, 
 84.20,   4.64E-009, 
 84.30,   1.71E-009, 
 84.40,   8.07E-010, 
 84.50,   3.38E-010, 
 84.60,   1.52E-010, 
 84.70,   1.15E-010, 
 84.80,   7.71E-011, 
 84.90,   8.29E-011, 
 85.00,   8.48E-011, 
 85.10,   3.21E-011, 
 85.20,   4.56E-011, 
 85.30,   3.92E-011, 
 85.40,   6.23E-011, 
 85.50,   1.00E-010, 
 85.60,   2.12E-010, 
 85.70,   6.87E-010, 
 85.80,   1.60E-009, 
 85.90,   2.44E-009, 
 86.00,   3.04E-009, 
 86.10,   2.69E-009, 
 86.20,   1.68E-009, 
 86.30,   7.82E-010, 
 86.40,   3.48E-010, 
 86.50,   1.25E-010, 
 86.60,   7.71E-011, 
 86.70,   4.88E-011, 
 86.80,   1.67E-011, 
 86.90,   1.48E-011, 
 87.00,   2.25E-011, 
 87.10,   1.80E-011, 
 87.20,  -1.93E-011, 
 87.30,  -3.41E-011, 
 87.40,  -3.60E-011, 
 87.50,  -4.37E-011, 
 87.60,  -3.28E-011, 
 87.70,  -2.31E-011, 
 87.80,   1.93E-011, 
 87.90,   4.63E-011, 
 88.00,   1.93E-011, 
 88.10,   5.33E-011, 
 88.20,   6.11E-011, 
 88.30,   3.60E-011, 
 88.40,  -7.07E-012, 
 88.50,  -2.44E-011, 
 88.60,  -3.21E-011, 
 88.70,  -1.99E-011, 
 88.80,  -3.60E-011, 
 88.90,  -5.08E-011, 
 89.00,  -1.54E-011, 
 89.10,  -1.99E-011, 
 89.20,  -2.38E-011, 
 89.30,  -6.43E-013, 
 89.40,  -1.16E-011, 
 89.50,  -1.86E-011, 
 89.60,  -6.04E-011, 
 89.70,  -6.36E-011, 
 89.80,  -4.56E-011, 
 89.90,  -6.75E-011, 
 90.00,  -2.96E-011, 
