Apr 15, 2025  02:24:25 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 31.20,   2.74E-007, 
 31.30,   1.23E-007, 
 31.40,   2.72E-007, 
 31.50,   6.44E-007, 
 31.60,   2.77E-006, 
 31.70,   5.15E-006, 
 31.80,   5.84E-006, 
 31.90,   6.53E-006, 
 32.00,   6.05E-006, 
 32.10,   5.11E-006, 
 32.20,   1.04E-006, 
 32.30,   3.64E-008, 
 32.40,   2.88E-008, 
 32.50,   5.88E-008, 
 32.60,   2.40E-007, 
 32.70,   6.07E-007, 
 32.80,   7.39E-007, 
 32.90,   8.40E-007, 
 33.00,   8.27E-007, 
 33.10,   7.88E-007, 
 33.20,   3.04E-007, 
 33.30,   1.69E-008, 
 33.40,   7.10E-009, 
 33.50,   1.13E-008, 
 33.60,   4.42E-008, 
 33.70,   1.20E-007, 
 33.80,   1.51E-007, 
 33.90,   1.78E-007, 
 34.00,   1.74E-007, 
 34.10,   1.61E-007, 
 34.20,   6.61E-008, 
 34.30,   1.32E-008, 
 34.40,   1.78E-008, 
 34.50,   4.08E-008, 
 34.60,   1.61E-007, 
 34.70,   4.26E-007, 
 34.80,   5.32E-007, 
 34.90,   6.43E-007, 
 35.00,   6.42E-007, 
 35.10,   5.92E-007, 
 35.20,   2.46E-007, 
 35.30,   1.58E-008, 
 35.40,   4.69E-009, 
 35.50,   5.21E-009, 
 35.60,   1.73E-008, 
 35.70,   5.36E-008, 
 35.80,   6.99E-008, 
 35.90,   8.07E-008, 
 36.00,   8.12E-008, 
 36.10,   7.76E-008, 
 36.20,   3.61E-008, 
 36.30,   6.37E-009, 
 36.40,   3.07E-009, 
 36.50,   3.99E-009, 
 36.60,   1.58E-008, 
 36.70,   3.39E-008, 
 36.80,   4.06E-008, 
 36.90,   4.65E-008, 
 37.00,   4.60E-008, 
 37.10,   4.10E-008, 
 37.20,   1.76E-008, 
 37.30,   7.73E-009, 
 37.40,   9.73E-009, 
 37.50,   1.68E-008, 
 37.60,   5.41E-008, 
 37.70,   1.04E-007, 
 37.80,   1.25E-007, 
 37.90,   1.47E-007, 
 38.00,   1.51E-007, 
 38.10,   1.41E-007, 
 38.20,   6.17E-008, 
 38.30,   5.44E-008, 
 38.40,   1.06E-007, 
 38.50,   2.09E-007, 
 38.60,   7.30E-007, 
 38.70,   1.41E-006, 
 38.80,   1.70E-006, 
 38.90,   2.06E-006, 
 39.00,   2.10E-006, 
 39.10,   1.75E-006, 
 39.20,   4.17E-007, 
 39.30,   5.37E-008, 
 39.40,   8.35E-008, 
 39.50,   2.07E-007, 
 39.60,   6.05E-007, 
 39.70,   9.07E-007, 
 39.80,   1.09E-006, 
 39.90,   1.17E-006, 
 40.00,   1.15E-006, 
 40.10,   7.62E-007, 
 40.20,   2.08E-007, 
