Apr 15, 2025  12:27:13 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 47.40,   2.37E-010, 
 47.50,   1.77E-010, 
 47.60,   2.37E-010, 
 47.70,   4.65E-010, 
 47.80,   7.10E-010, 
 47.90,   9.51E-010, 
 48.00,   1.22E-009, 
 48.10,   1.38E-009, 
 48.20,   1.19E-009, 
 48.30,   8.10E-010, 
 48.40,   6.83E-010, 
 48.50,   8.44E-010, 
 48.60,   1.73E-009, 
 48.70,   6.29E-009, 
 48.80,   1.23E-008, 
 48.90,   1.68E-008, 
 49.00,   1.97E-008, 
 49.10,   2.06E-008, 
 49.20,   1.48E-008, 
 49.30,   7.16E-009, 
 49.40,   6.27E-009, 
 49.50,   1.08E-008, 
 49.60,   3.36E-008, 
 49.70,   1.14E-007, 
 49.80,   1.66E-007, 
 49.90,   2.06E-007, 
 50.00,   2.28E-007, 
 50.10,   2.32E-007, 
 50.20,   1.33E-007, 
 50.30,   2.79E-008, 
 50.40,   1.27E-008, 
 50.50,   2.12E-008, 
 50.60,   6.01E-008, 
 50.70,   2.06E-007, 
 50.80,   3.04E-007, 
 50.90,   3.80E-007, 
 51.00,   4.31E-007, 
 51.10,   4.45E-007, 
 51.20,   2.66E-007, 
 51.30,   5.01E-008, 
 51.40,   8.80E-009, 
 51.50,   8.99E-009, 
 51.60,   2.23E-008, 
 51.70,   8.30E-008, 
 51.80,   1.31E-007, 
 51.90,   1.68E-007, 
 52.00,   1.93E-007, 
 52.10,   2.02E-007, 
 52.20,   1.33E-007, 
 52.30,   3.83E-008, 
 52.40,   2.10E-008, 
 52.50,   3.40E-008, 
 52.60,   8.79E-008, 
 52.70,   3.08E-007, 
 52.80,   4.71E-007, 
 52.90,   6.19E-007, 
 53.00,   7.25E-007, 
 53.10,   7.74E-007, 
 53.20,   5.06E-007, 
 53.30,   1.20E-007, 
 53.40,   3.35E-008, 
 53.50,   4.97E-008, 
 53.60,   1.21E-007, 
 53.70,   4.31E-007, 
 53.80,   7.01E-007, 
 53.90,   9.36E-007, 
 54.00,   1.12E-006, 
 54.10,   1.21E-006, 
 54.20,   9.53E-007, 
 54.30,   3.19E-007, 
 54.40,   1.51E-007, 
 54.50,   2.38E-007, 
 54.60,   4.79E-007, 
 54.70,   1.79E-006, 
 54.80,   3.42E-006, 
 54.90,   4.59E-006, 
 55.00,   5.77E-006, 
 55.10,   6.21E-006, 
 55.20,   5.22E-006, 
 55.30,   1.64E-006, 
 55.40,   3.83E-007, 
 55.50,   5.56E-007, 
 55.60,   1.08E-006, 
 55.70,   3.36E-006, 
 55.80,   8.51E-006, 
 55.90,   1.16E-005, 
 56.00,   1.55E-005, 
 56.10,   1.64E-005, 
 56.20,   1.40E-005, 
 56.30,   4.26E-006, 
 56.40,   1.42E-007, 
 56.50,   3.24E-008, 
 56.60,   5.00E-008, 
 56.70,   2.05E-007, 
 56.80,   4.08E-007, 
 56.90,   5.82E-007, 
 57.00,   7.31E-007, 
 57.10,   7.93E-007, 
 57.20,   5.61E-007, 
 57.30,   1.60E-007, 
 57.40,   1.16E-008, 
 57.50,   2.98E-009, 
 57.60,   1.93E-009, 
 57.70,   3.16E-009, 
 57.80,   8.24E-009, 
 57.90,   1.35E-008, 
 58.00,   1.78E-008, 
 58.10,   1.96E-008, 
 58.20,   1.50E-008, 
 58.30,   6.58E-009, 
