Apr 15, 2025  12:12:44 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 52.10,   4.22E-010, 
 52.20,   2.94E-010, 
 52.30,   2.42E-010, 
 52.40,   1.82E-010, 
 52.50,   1.77E-010, 
 52.60,   1.71E-010, 
 52.70,   3.59E-010, 
 52.80,   6.21E-010, 
 52.90,   8.20E-010, 
 53.00,   9.87E-010, 
 53.10,   9.76E-010, 
 53.20,   7.74E-010, 
 53.30,   4.65E-010, 
 53.40,   2.57E-010, 
 53.50,   2.15E-010, 
 53.60,   2.53E-010, 
 53.70,   5.62E-010, 
 53.80,   9.77E-010, 
 53.90,   1.38E-009, 
 54.00,   1.70E-009, 
 54.10,   1.80E-009, 
 54.20,   1.42E-009, 
 54.30,   7.94E-010, 
 54.40,   4.99E-010, 
 54.50,   4.39E-010, 
 54.60,   5.51E-010, 
 54.70,   1.48E-009, 
 54.80,   3.06E-009, 
 54.90,   4.63E-009, 
 55.00,   5.55E-009, 
 55.10,   5.65E-009, 
 55.20,   3.86E-009, 
 55.30,   1.93E-009, 
 55.40,   1.14E-009, 
 55.50,   9.40E-010, 
 55.60,   1.30E-009, 
 55.70,   4.30E-009, 
 55.80,   9.95E-009, 
 55.90,   1.39E-008, 
 56.00,   1.54E-008, 
 56.10,   1.46E-008, 
 56.20,   8.47E-009, 
 56.30,   2.98E-009, 
 56.40,   1.19E-009, 
 56.50,   6.18E-010, 
 56.60,   4.20E-010, 
 56.70,   4.16E-010, 
 56.80,   5.33E-010, 
 56.90,   6.75E-010, 
 57.00,   7.91E-010, 
 57.10,   8.40E-010, 
 57.20,   7.01E-010, 
 57.30,   4.60E-010, 
 57.40,   2.66E-010, 
 57.50,   2.26E-010, 
 57.60,   2.08E-010, 
 57.70,   3.64E-010, 
 57.80,   4.54E-010, 
 57.90,   5.49E-010, 
 58.00,   6.59E-010, 
 58.10,   6.48E-010, 
 58.20,   5.06E-010, 
 58.30,   2.31E-010, 
 58.40,   1.54E-010, 
 58.50,   1.47E-010, 
 58.60,   1.38E-010, 
 58.70,   1.22E-010, 
 58.80,   1.16E-010, 
 58.90,   9.90E-011, 
 59.00,   1.16E-010, 
 59.10,   1.36E-010, 
 59.20,   1.56E-010, 
 59.30,   1.09E-010, 
 59.40,   8.23E-011, 
 59.50,   3.92E-011, 
 59.60,   3.66E-011, 
 59.70,   5.08E-011, 
 59.80,   2.44E-011, 
 59.90,   5.33E-011, 
 60.00,   4.18E-011, 
 60.10,   2.83E-011, 
 60.20,   2.38E-011, 
 60.30,   3.98E-011, 
 60.40,   4.43E-011, 
 60.50,   6.30E-011, 
 60.60,   6.17E-011, 
 60.70,   2.31E-011, 
 60.80,   1.67E-011, 
 60.90,   6.23E-011, 
 61.00,   4.82E-011, 
 61.10,   7.39E-011, 
 61.20,   5.14E-011, 
 61.30,   4.76E-011, 
 61.40,   2.51E-011, 
 61.50,   5.40E-011, 
 61.60,   6.04E-011, 
 61.70,   4.88E-011, 
 61.80,   2.89E-011, 
 61.90,   2.89E-011, 
 62.00,   4.05E-011, 
 62.10,   2.89E-011, 
 62.20,   5.59E-011, 
 62.30,   7.26E-011, 
 62.40,   6.81E-011, 
 62.50,   4.43E-011, 
 62.60,   7.13E-011, 
 62.70,   1.11E-010, 
 62.80,   1.05E-010, 
 62.90,   1.16E-010, 
 63.00,   1.33E-010, 
 63.10,   1.20E-010, 
 63.20,   9.45E-011, 
 63.30,   9.70E-011, 
 63.40,   8.55E-011, 
 63.50,   8.55E-011, 
 63.60,   9.25E-011, 
 63.70,   9.00E-011, 
 63.80,   1.02E-010, 
 63.90,   1.86E-010, 
 64.00,   2.13E-010, 
 64.10,   1.81E-010, 
 64.20,   1.47E-010, 
 64.30,   1.56E-010, 
 64.40,   1.50E-010, 
 64.50,   1.32E-010, 
 64.60,   9.45E-011, 
 64.70,   1.18E-010, 
 64.80,   2.09E-010, 
 64.90,   2.20E-010, 
 65.00,   2.63E-010, 
 65.10,   2.28E-010, 
 65.20,   2.13E-010, 
 65.30,   1.20E-010, 
 65.40,   1.17E-010, 
 65.50,   1.19E-010, 
 65.60,   1.15E-010, 
 65.70,   8.35E-011, 
 65.80,   9.19E-011, 
 65.90,   1.25E-010, 
 66.00,   1.52E-010, 
 66.10,   1.52E-010, 
 66.20,   1.20E-010, 
 66.30,   9.70E-011, 
 66.40,   8.74E-011, 
 66.50,   7.65E-011, 
 66.60,   1.17E-010, 
 66.70,   3.12E-010, 
 66.80,   6.25E-010, 
 66.90,   8.80E-010, 
 67.00,   1.08E-009, 
 67.10,   1.18E-009, 
 67.20,   8.80E-010, 
 67.30,   5.30E-010, 
 67.40,   2.53E-010, 
 67.50,   1.56E-010, 
 67.60,   1.36E-010, 
 67.70,   1.65E-010, 
 67.80,   2.27E-010, 
 67.90,   2.52E-010, 
 68.00,   4.10E-010, 
 68.10,   4.29E-010, 
 68.20,   3.47E-010, 
 68.30,   2.15E-010, 
 68.40,   1.50E-010, 
 68.50,   1.52E-010, 
 68.60,   2.56E-010, 
 68.70,   6.06E-010, 
 68.80,   1.35E-009, 
 68.90,   2.23E-009, 
 69.00,   2.95E-009, 
 69.10,   3.14E-009, 
 69.20,   2.40E-009, 
 69.30,   1.21E-009, 
 69.40,   5.51E-010, 
 69.50,   2.81E-010, 
 69.60,   1.66E-010, 
 69.70,   1.16E-010, 
 69.80,   1.33E-010, 
 69.90,   1.27E-010, 
 70.00,   2.03E-010, 
 70.10,   2.18E-010, 
 70.20,   1.92E-010, 
 70.30,   1.21E-010, 
 70.40,   6.49E-011, 
 70.50,   5.21E-011, 
 70.60,   3.34E-011, 
 70.70,   2.89E-011, 
 70.80,   6.23E-011, 
 70.90,   7.13E-011, 
 71.00,   7.84E-011, 
 71.10,   6.81E-011, 
 71.20,   4.37E-011, 
 71.30,   4.82E-011, 
 71.40,   7.39E-011, 
 71.50,   4.24E-011, 
 71.60,   3.73E-011, 
 71.70,   5.14E-012, 
 71.80,   1.80E-011, 
 71.90,   1.48E-011, 
 72.00,  -4.50E-012, 
 72.10,   2.12E-011, 
 72.20,   4.18E-011, 
 72.30,   5.14E-011, 
 72.40,   3.66E-011, 
 72.50,   3.21E-011, 
 72.60,   2.19E-011, 
 72.70,   1.86E-011, 
 72.80,   5.01E-011, 
 72.90,   6.68E-011, 
 73.00,   9.96E-011, 
 73.10,   1.25E-010, 
 73.20,   1.32E-010, 
 73.30,   1.17E-010, 
 73.40,   7.26E-011, 
 73.50,   2.89E-011, 
 73.60,   9.64E-012, 
 73.70,   3.47E-011, 
 73.80,   8.42E-011, 
 73.90,   7.33E-011, 
 74.00,   5.59E-011, 
 74.10,   4.56E-011, 
 74.20,   5.98E-011, 
 74.30,   3.41E-011, 
 74.40,   2.44E-011, 
 74.50,   5.78E-011, 
 74.60,   6.23E-011, 
 74.70,   6.56E-011, 
 74.80,   5.21E-011, 
 74.90,   5.98E-011, 
 75.00,   2.25E-011, 
 75.10,   2.57E-011, 
 75.20,   2.63E-011, 
 75.30,   5.14E-012, 
 75.40,  -6.43E-013, 
 75.50,   2.57E-011, 
 75.60,   2.25E-011, 
 75.70,   5.14E-011, 
 75.80,   4.24E-011, 
 75.90,   4.05E-011, 
 76.00,  -5.78E-012, 
 76.10,  -9.00E-012, 
 76.20,  -2.25E-011, 
 76.30,  -2.31E-011, 
 76.40,  -3.21E-012, 
 76.50,   3.60E-011, 
 76.60,   5.46E-011, 
 76.70,   8.55E-011, 
 76.80,   1.05E-010, 
 76.90,   1.34E-010, 
 77.00,   1.70E-010, 
 77.10,   1.86E-010, 
 77.20,   1.64E-010, 
 77.30,   1.10E-010, 
 77.40,   1.02E-010, 
 77.50,   1.05E-010, 
 77.60,   9.06E-011, 
 77.70,   8.87E-011, 
 77.80,   1.02E-010, 
 77.90,   1.32E-010, 
 78.00,   1.54E-010, 
 78.10,   1.67E-010, 
 78.20,   1.35E-010, 
 78.30,   1.29E-010, 
 78.40,   9.13E-011, 
 78.50,   5.72E-011, 
 78.60,   5.72E-011, 
 78.70,   6.68E-011, 
 78.80,   9.58E-011, 
 78.90,   1.45E-010, 
 79.00,   2.29E-010, 
 79.10,   2.31E-010, 
 79.20,   1.64E-010, 
 79.30,   9.90E-011, 
 79.40,   8.03E-011, 
 79.50,   7.13E-011, 
 79.60,   4.43E-011, 
 79.70,   2.12E-011, 
 79.80,   1.29E-012, 
 79.90,   5.08E-011, 
 80.00,   6.36E-011, 
 80.10,   6.04E-011, 
 80.20,   5.08E-011, 
 80.30,   5.27E-011, 
 80.40,   7.78E-011, 
 80.50,   5.40E-011, 
 80.60,   4.69E-011, 
 80.70,   5.59E-011, 
 80.80,   4.95E-011, 
 80.90,   7.52E-011, 
 81.00,   9.51E-011, 
 81.10,   1.14E-010, 
 81.20,   1.18E-010, 
 81.30,   7.90E-011, 
 81.40,   5.01E-011, 
 81.50,   5.66E-011, 
 81.60,   5.72E-011, 
 81.70,   5.21E-011, 
 81.80,   1.14E-010, 
 81.90,   1.75E-010, 
 82.00,   2.37E-010, 
 82.10,   3.17E-010, 
 82.20,   2.46E-010, 
 82.30,   1.94E-010, 
 82.40,   1.45E-010, 
 82.50,   9.32E-011, 
 82.60,   1.21E-010, 
 82.70,   1.57E-010, 
 82.80,   2.31E-010, 
 82.90,   3.86E-010, 
 83.00,   5.02E-010, 
 83.10,   5.21E-010, 
 83.20,   4.34E-010, 
 83.30,   2.35E-010, 
 83.40,   1.87E-010, 
 83.50,   2.29E-010, 
 83.60,   3.57E-010, 
 83.70,   6.31E-010, 
 83.80,   1.68E-009, 
 83.90,   3.40E-009, 
 84.00,   4.94E-009, 
 84.10,   5.57E-009, 
 84.20,   4.21E-009, 
 84.30,   2.20E-009, 
 84.40,   9.56E-010, 
 84.50,   5.13E-010, 
 84.60,   2.98E-010, 
 84.70,   1.54E-010, 
 84.80,   1.90E-010, 
 84.90,   3.17E-010, 
 85.00,   4.13E-010, 
 85.10,   4.65E-010, 
 85.20,   3.95E-010, 
 85.30,   1.97E-010, 
 85.40,   9.58E-011, 
 85.50,   8.23E-011, 
 85.60,   8.74E-011, 
 85.70,   1.09E-010, 
 85.80,   1.08E-010, 
 85.90,   1.16E-010, 
 86.00,   1.13E-010, 
 86.10,   1.29E-010, 
 86.20,   1.09E-010, 
 86.30,   7.71E-011, 
 86.40,   7.84E-011, 
 86.50,   5.53E-011, 
 86.60,   2.89E-011, 
 86.70,   3.34E-011, 
 86.80,   4.18E-011, 
 86.90,   6.04E-011, 
 87.00,   7.78E-011, 
 87.10,   9.32E-011, 
 87.20,   7.78E-011, 
 87.30,   7.52E-011, 
 87.40,   8.16E-011, 
 87.50,   6.30E-011, 
 87.60,   3.53E-011, 
 87.70,   3.79E-011, 
 87.80,   9.70E-011, 
 87.90,   1.52E-010, 
 88.00,   2.35E-010, 
 88.10,   2.54E-010, 
 88.20,   2.11E-010, 
 88.30,   1.54E-010, 
 88.40,   1.23E-010, 
 88.50,   7.52E-011, 
 88.60,   4.56E-011, 
