Apr 15, 2025  01:43:21 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 401 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 10, amu 
Scan Stop Mass, 50, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 36.50,   1.79E-010, 
 36.60,   3.83E-010, 
 36.70,   9.49E-010, 
 36.80,   1.53E-009, 
 36.90,   2.02E-009, 
 37.00,   2.11E-009, 
 37.10,   1.90E-009, 
 37.20,   1.08E-009, 
 37.30,   5.69E-010, 
 37.40,   5.33E-010, 
 37.50,   9.77E-010, 
 37.60,   3.29E-009, 
 37.70,   7.53E-009, 
 37.80,   1.01E-008, 
 37.90,   1.13E-008, 
 38.00,   1.13E-008, 
 38.10,   7.97E-009, 
 38.20,   3.21E-009, 
 38.30,   1.50E-009, 
 38.40,   1.13E-009, 
 38.50,   1.49E-009, 
 38.60,   4.23E-009, 
 38.70,   1.14E-008, 
 38.80,   1.65E-008, 
 38.90,   2.10E-008, 
 39.00,   2.43E-008, 
 39.10,   2.46E-008, 
 39.20,   2.28E-008, 
 39.30,   3.85E-008, 
 39.40,   7.43E-008, 
 39.50,   2.48E-007, 
 39.60,   6.26E-007, 
 39.70,   7.95E-007, 
 39.80,   9.48E-007, 
 39.90,   9.15E-007, 
 40.00,   7.99E-007, 
 40.10,   2.48E-007, 
 40.20,   1.83E-008, 
 40.30,   9.51E-009, 
 40.40,   1.46E-008, 
 40.50,   3.46E-008, 
 40.60,   1.28E-007, 
 40.70,   1.94E-007, 
 40.80,   2.34E-007, 
 40.90,   2.44E-007, 
 41.00,   2.41E-007, 
 41.10,   1.30E-007, 
 41.20,   2.76E-008, 
 41.30,   2.46E-008, 
 41.40,   4.26E-008, 
 41.50,   1.05E-007, 
 41.60,   3.61E-007, 
 41.70,   5.24E-007, 
 41.80,   6.64E-007, 
 41.90,   6.83E-007, 
 42.00,   6.78E-007, 
 42.10,   3.52E-007, 
 42.20,   6.99E-008, 
 42.30,   7.75E-008, 
 42.40,   1.39E-007, 
 42.50,   3.14E-007, 
 42.60,   1.11E-006, 
 42.70,   1.61E-006, 
 42.80,   2.02E-006, 
 42.90,   2.15E-006, 
 43.00,   2.13E-006, 
 43.10,   1.17E-006, 
 43.20,   1.72E-007, 
 43.30,   1.07E-007, 
 43.40,   1.88E-007, 
 43.50,   4.14E-007, 
 43.60,   1.53E-006, 
 43.70,   2.41E-006, 
 43.80,   3.00E-006, 
 43.90,   3.13E-006, 
 44.00,   3.10E-006, 
 44.10,   1.63E-006, 
