May 21, 2024  12:33:35 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 29.10,   1.15E-008, 
 29.20,   4.47E-009, 
 29.30,   2.32E-009, 
 29.40,   2.51E-009, 
 29.50,   6.20E-009, 
 29.60,   3.46E-008, 
 29.70,   6.09E-008, 
 29.80,   7.19E-008, 
 29.90,   7.35E-008, 
 30.00,   6.21E-008, 
 30.10,   3.40E-008, 
 30.20,   6.07E-009, 
 30.30,   1.85E-009, 
 30.40,   9.06E-010, 
 30.50,   6.14E-010, 
 30.60,   9.15E-010, 
 30.70,   1.92E-009, 
 30.80,   3.03E-009, 
 30.90,   3.66E-009, 
 31.00,   3.77E-009, 
 31.10,   3.38E-009, 
 31.20,   2.31E-009, 
 31.30,   2.22E-009, 
 31.40,   3.44E-009, 
 31.50,   1.14E-008, 
 31.60,   5.36E-008, 
 31.70,   8.61E-008, 
 31.80,   9.64E-008, 
 31.90,   9.82E-008, 
 32.00,   8.12E-008, 
 32.10,   3.53E-008, 
 32.20,   5.35E-009, 
 32.30,   1.73E-009, 
 32.40,   7.99E-010, 
 32.50,   3.99E-010, 
 32.60,   1.81E-010, 
 32.70,   1.21E-010, 
 32.80,   2.44E-010, 
 32.90,   2.66E-010, 
 33.00,   2.64E-010, 
 33.10,   1.96E-010, 
 33.20,   3.53E-011, 
 33.30,  -5.14E-012, 
 33.40,  -2.96E-011, 
 33.50,  -4.24E-011, 
 33.60,   1.09E-011, 
 33.70,   9.58E-011, 
 33.80,   2.37E-010, 
 33.90,   2.96E-010, 
 34.00,   3.12E-010, 
 34.10,   2.58E-010, 
 34.20,   7.58E-011, 
 34.30,   1.48E-011, 
 34.40,   1.29E-012, 
 34.50,   5.40E-011, 
 34.60,   2.42E-010, 
 34.70,   5.02E-010, 
 34.80,   6.88E-010, 
 34.90,   8.22E-010, 
 35.00,   8.52E-010, 
 35.10,   6.36E-010, 
 35.20,   3.77E-010, 
 35.30,   2.11E-010, 
 35.40,   1.14E-010, 
 35.50,   3.09E-010, 
 35.60,   8.52E-010, 
 35.70,   1.61E-009, 
 35.80,   2.20E-009, 
 35.90,   2.52E-009, 
 36.00,   2.32E-009, 
 36.10,   1.45E-009, 
 36.20,   6.90E-010, 
 36.30,   3.73E-010, 
 36.40,   2.41E-010, 
 36.50,   2.23E-010, 
 36.60,   2.51E-010, 
 36.70,   3.59E-010, 
 36.80,   4.37E-010, 
 36.90,   4.84E-010, 
 37.00,   4.35E-010, 
 37.10,   3.36E-010, 
 37.20,   2.22E-010, 
 37.30,   1.02E-010, 
 37.40,   6.43E-011, 
 37.50,   1.20E-010, 
 37.60,   4.21E-010, 
 37.70,   7.24E-010, 
 37.80,   9.83E-010, 
 37.90,   1.20E-009, 
 38.00,   1.19E-009, 
 38.10,   8.50E-010, 
 38.20,   5.01E-010, 
 38.30,   3.11E-010, 
 38.40,   2.46E-010, 
 38.50,   3.46E-010, 
 38.60,   8.93E-010, 
 38.70,   1.98E-009, 
 38.80,   3.00E-009, 
 38.90,   3.66E-009, 
 39.00,   3.65E-009, 
 39.10,   2.73E-009, 
 39.20,   1.45E-009, 
 39.30,   9.65E-010, 
 39.40,   8.83E-010, 
 39.50,   1.96E-009, 
 39.60,   5.88E-009, 
 39.70,   9.84E-009, 
 39.80,   1.15E-008, 
 39.90,   1.19E-008, 
 40.00,   8.95E-009, 
 40.10,   3.61E-009, 
 40.20,   1.49E-009, 
 40.30,   8.50E-010, 
 40.40,   6.30E-010, 
 40.50,   7.40E-010, 
 40.60,   1.93E-009, 
 40.70,   4.65E-009, 
 40.80,   6.94E-009, 
 40.90,   8.14E-009, 
 41.00,   8.03E-009, 
 41.10,   5.09E-009, 
 41.20,   2.12E-009, 
 41.30,   9.85E-010, 
 41.40,   6.20E-010, 
 41.50,   5.71E-010, 
 41.60,   1.12E-009, 
 41.70,   2.27E-009, 
 41.80,   3.29E-009, 
 41.90,   3.98E-009, 
 42.00,   3.99E-009, 
 42.10,   2.81E-009, 
 42.20,   1.36E-009, 
 42.30,   7.49E-010, 
 42.40,   5.91E-010, 
