Frequency,Channel A
(kHz),(dBu)

12.68386841,-58.41766000
12.77923584,-57.86035000
12.87460327,-59.52859000
12.96997070,-61.00243000
13.06533813,-61.12463000
13.16070557,-61.54932000
13.25607300,-66.65318000
13.35144043,-64.53599000
13.44680786,-55.90896000
13.54217529,-55.65504000
13.63754272,-57.85868000
13.73291016,-58.27572000
13.82827759,-58.19359000
13.92364502,-58.97810000
14.01901245,-59.40390000
14.11437988,-59.69558000
14.20974731,-60.55772000
14.30511475,-59.85833000
14.40048218,-58.44805000
14.49584961,-57.47808000
14.59121704,-59.70536000
14.68658447,-62.73215000
14.78195190,-59.02639000
14.87731934,-62.41299000
14.97268677,-64.56200000
15.06805420,-61.99329000
15.16342163,-59.14594000
15.25878906,-56.39831000
15.35415649,-59.15269000
15.44952393,-65.02547000
15.54489136,-60.97173000
15.64025879,-66.27160000
15.73562622,-71.80999000
15.83099365,-67.52715000
15.92636108,-65.59574000
16.02172852,-66.08755000
16.11709595,-57.88504000
16.21246338,-55.56377000
16.30783081,-57.63861000
16.40319824,-61.24228000
16.49856567,-61.77222000
16.59393311,-69.07445000
16.68930054,-58.12605000
16.78466797,-58.87089000
16.88003540,-61.60020000
16.97540283,-62.59914000
17.07077026,-61.95133000
17.16613770,-65.64523000
17.26150513,-68.69221000
17.35687256,-61.04206000
17.45223999,-62.28811000
17.54760742,-60.54055000
17.64297485,-58.36412000
17.73834229,-60.61040000
17.83370972,-63.44506000
17.92907715,-63.24458000
18.02444458,-62.94789000
18.11981201,-58.32269000
18.21517944,-59.81684000
18.31054688,-60.94144000
18.40591431,-63.00535000
18.50128174,-65.09731000
18.59664917,-71.93031000
18.69201660,-68.31448000
18.78738403,-65.55389000
18.88275146,-62.17956000
18.97811890,-58.01834000
19.07348633,-67.89789000
19.16885376,-56.66859000
19.26422119,-54.24816000
19.35958862,-55.68411000
19.45495605,-55.54757000
19.55032349,-61.34919000
19.64569092,-58.57368000
19.74105835,-58.52471000
19.83642578,-65.54950000
19.93179321,-58.30852000
20.02716064,-56.10750000
20.12252808,-59.87385000
20.21789551,-58.59329000
20.31326294,-55.24332000
20.40863037,-55.45224000
20.50399780,-59.29667000
20.59936523,-58.53254000
20.69473267,-57.58145000
20.79010010,-60.44855000
20.88546753,-60.45242000
20.98083496,-62.23293000
21.07620239,-60.60797000
21.17156982,-65.43778000
21.26693726,-59.97383000
21.36230469,-60.21840000
21.45767212,-63.01622000
21.55303955,-61.73983000
21.64840698,-66.92046000
21.74377441,-58.91429000
21.83914185,-56.74778000
21.93450928,-59.42200000
22.02987671,-60.96083000
22.12524414,-64.53951000
22.22061157,-61.70407000
22.31597900,-67.13519000
22.41134644,-59.82306000
22.50671387,-61.05302000
22.60208130,-54.15342000
22.69744873,-52.68093000
22.79281616,-56.07415000
22.88818359,-68.84699000
22.98355103,-62.92660000
23.07891846,-66.30305000
23.17428589,-63.85693000
23.26965332,-58.43855000
23.36502075,-61.33145000
23.46038818,-70.81820000
23.55575562,-71.10231000
23.65112305,-63.20573000
23.74649048,-57.98506000
23.84185791,-62.84915000
23.93722534,-60.98950000
24.03259277,-58.83625000
24.12796021,-59.90231000
24.22332764,-62.07771000
24.31869507,-61.29009000
24.41406250,-56.98404000
24.50942993,-55.40957000
24.60479736,-55.77770000
24.70016479,-58.13533000
24.79553223,-62.96825000
24.89089966,-70.80564000
24.98626709,-67.95219000
25.08163452,-56.56172000
25.17700195,-52.41214000
25.27236938,-52.20349000
25.36773682,-52.49386000
25.46310425,-55.23719000
25.55847168,-60.87868000
25.65383911,-59.38191000
25.74920654,-54.67712000
25.84457397,-54.13414000
25.93994141,-57.29232000
26.03530884,-67.34122000
26.13067627,-60.58279000
26.22604370,-59.02313000
26.32141113,-66.48576000
26.41677856,-62.37316000
26.51214600,-58.69112000
26.60751343,-60.56236000
26.70288086,-78.82045000
26.79824829,-59.70347000
26.89361572,-62.51724000
26.98898315,-69.75361000
27.08435059,-69.94704000
27.17971802,-66.84312000
27.27508545,-68.42568000
27.37045288,-63.91796000
27.46582031,-57.23208000
27.56118774,-58.96529000
27.65655518,-64.46293000
27.75192261,-62.61661000
27.84729004,-60.12935000
27.94265747,-57.93494000
28.03802490,-56.10088000
28.13339233,-60.49208000
28.22875977,-64.54144000
28.32412720,-56.69756000
28.41949463,-58.31079000
28.51486206,-62.93605000
28.61022949,-91.31184000
28.70559692,-65.86391000
28.80096436,-64.69073000
28.89633179,-62.81408000
28.99169922,-64.42124000
29.08706665,-64.64713000
